date,value
2016-11-02T00:09:59,104.04
2016-11-02T00:20:00,104.03
2016-11-02T00:29:59,104.05
2016-11-02T00:49:59,104.08
2016-11-02T01:00:00,104.05
2016-11-02T01:20:00,104.02
2016-11-02T01:30:00,103.94
2016-11-02T01:39:59,103.92
2016-11-02T01:50:00,103.88
2016-11-02T01:59:59,103.93
2016-11-02T02:10:00,103.88
2016-11-02T02:19:59,103.83
2016-11-02T02:30:00,103.81
2016-11-02T02:39:59,103.75
2016-11-02T02:50:00,103.7
2016-11-02T03:00:00,103.74
2016-11-02T03:09:59,103.7
2016-11-02T03:20:00,103.67
2016-11-02T03:40:00,103.76
2016-11-02T03:49:59,103.79
2016-11-02T04:00:00,103.75
2016-11-02T04:20:00,103.8
2016-11-02T04:30:00,103.72
2016-11-02T04:39:59,103.71
2016-11-02T04:59:59,103.68
2016-11-02T05:19:59,103.68
2016-11-02T05:30:00,103.67
2016-11-02T05:39:59,103.81
2016-11-02T05:50:00,103.88
2016-11-02T06:09:59,103.82
2016-11-02T06:20:00,103.78
2016-11-02T06:40:00,103.79
2016-11-02T07:00:00,103.85
2016-11-02T07:09:59,103.86
2016-11-02T07:20:00,103.9
2016-11-02T07:30:00,103.87
2016-11-02T07:39:59,103.78
2016-11-02T07:50:00,103.71
2016-11-02T08:10:00,103.54
2016-11-02T08:30:00,103.5
2016-11-02T08:39:59,103.54
2016-11-02T09:00:00,103.61
2016-11-02T09:09:59,103.65
2016-11-02T09:20:00,103.64
2016-11-02T09:29:59,103.64
2016-11-02T09:40:00,103.6
2016-11-02T10:00:00,103.41
2016-11-02T10:09:59,103.51
2016-11-02T10:20:00,103.53
2016-11-02T10:30:00,103.53
2016-11-02T10:39:59,103.41
2016-11-02T10:59:59,103.48
2016-11-02T11:10:00,103.38
2016-11-02T11:19:59,103.42
2016-11-02T11:30:00,103.39
2016-11-02T11:39:59,103.37
2016-11-02T12:00:00,103.25
2016-11-02T12:09:59,103.25
2016-11-02T12:20:00,103.29
2016-11-02T12:29:59,103.23
